직업코드,대분류,중분류,소분류,직무개요,수행직무,임금정보,직업만족도,일자리전망,직업명,직업가치,지식,업무환경,성격,흥미,가치관,업무수행능력,직무기술
K000001139,경영·사무·금융·보험직,광고·조사·상품기획·행사기획 전문가,조사전문가,"기업의 마케팅 의사결정이나 공공영역의 정책 수립 및 학술연구에 필요한 기초 자료를 수집하기 위해 조사를 설계, 기획한다. 자료수집 과정 전반을 관리하고 조사 결과를 분석하여 발견한 사실과 함축된 의미를 보고서 등의 형태로 작성하여 보고한다.","·조사전문가가 되기 위해서는 일반적으로 대졸 이상의 학력이 요구되며 기업에서 조사전문가를 채용할 때 전공의 제한을 두지 않으나 통계학, 경영학, 소비자학, 경제학, 사회학, 심리학 전공자를 우대하는 편이다. 다국적 기업이나 해외의 고객과 의사소통을 할 수 있는 외국어 능력과 소비자의 니즈를 파악하는 능력이 중요하다. 전문적인 통계서비스를 요구하는 시장흐름에 발맞춰 단순 통계분석에서 벗어나 전문지식에 기반한 다양한 컨설팅능력이 점차 요구될 것으로 보이며, 이를 위해서는 변화하는 시장상황과 다양한 사회변화에 깊은 관심을 가질 필요가 있다.","조사년도:2023년, 임금 하위(25%) 4675만원, 평균(50%) 5500만원, 상위(25%) 7000만원",64.6,증가(9%) 현상유지(30%) 감소(61%),조사전문가,가르치기(89)/공간지각력(79)/글쓰기(79)/전산(77)/논리적 분석(75),사무(82)/영업과 마케팅(82)/국어(78)/사회와 인류(77)/심리(71),재택근무(99)/마감시간(92)/이메일 이용하기(90)/외부 고객 대하기(89)/앉아서 근무(88),분석적 사고(82)/꼼꼼함(70)/신뢰성(68)/협조(65)/인내(62),탐구형(Investigative)(87)/진취형(Enterprising)(57),지적 추구(88)/다양성(86)/개인지향(78)/신체활동(74)/심신의 안녕(64),"사물, 행동, 사건 파악(99)/사람들의 업무와 활동을 조직, 편성(99)/업무 계획, 우선순위 결정(99)/사람들에게 조언, 상담(99)/사람들의 능력 개발, 지도(99)","사물, 행동, 사건 파악(97)/사람들에게 조언, 상담(96)/의사 결정, 문제점 해결(95)/정보, 자료 분석(95)/절차, 자료, 주변환경 관찰(94)"
K000000995,경영·사무·금융·보험직,정부·공공 행정 사무원,일반행정공무원,"국가 또는 공공단체에 소속되어 공무를 담당하며, 국가에 임용되어 국가의사무를 집행하는 국가공무원과 지방자치단체에 임용되어 지방자치단체의사무를 집행하는 지방공무원이 있다.","일반행정공무원은 각종 행정업무를 정확하고 꼼꼼하게 처리할 수 있어야 하며, 담당 직무에 대한 관련 법규의 지식도 필요하다. 대민서비스를 제공하는 업무의 경우 신속하고 정확하게 업무처리를 할 수 있어야 하며, 도덕성과 윤리성 또한 높은 수준에서 요구되는 직업이라고 할 수 있다. 민원인을 대하는 업무를 담당하는 일반행정공무원은 다양한 사람의 요구를 반영하는 것에서 오는 스트레스를 잘 조절할 수 있어야 하며 원만한 대인관계를 유지하는 역량이 필요하다.","조사년도:2023년, 임금 하위(25%) 4000만원, 평균(50%) 5000만원, 상위(25%) 6500만원",64.6,증가(4%) 현상유지(37%) 감소(58%),일반행정공무원,전산(85)/행동조정(83)/설득(83)/읽고 이해하기(82)/듣고 이해하기(80),법(91)/사무(85)/경영 및 행정(84)/국어(82)/경제와 회계(73),"공문, 문서 주고받기(95)/불쾌하거나 무례한 사람 상대(90)/전화 대화하기(89)/이메일 이용하기(88)/앉아서 근무(87)",사회성(69)/신뢰성(68)/정직성(67)/스트레스 감내성(66)/자기통제(64),관습형(Conventional)(62)/사회형(Social)(53),고용안정(98)/애국(92)/이타(81)/신체활동(80)/인정(55),"행정, 관리 업무(97)/상사, 동료, 부하직원과 소통(84)/컴퓨터 업무(83)/사람들에게 영향력 행사(78)/사람들을 배려, 돌봄(77)","행정, 관리 업무(94)/업무, 활동에 대한 일정관리(92)/사람들에게 영향력 행사(85)/상사, 동료, 부하직원과 소통(82)/대인관계 유지(82)"
K000001040,경영·사무·금융·보험직,정부·공공 행정 사무원,관세행정사무원,"수출 및 수입통관, 환급 등 관련 서류를 작성하고 신청한다.","관세행정은 국가가 담당하므로 관세행정사무원이 되려면 관세청 등의 채용공고를 보고 지원해서 공무원 시험에 합격해야 한다. 시험과목은 몇 급에 지원하는가에 따라 다르지만 국어,영어,한국사,관세법개론,회계원리, 헌법, 행정법, 무역학 등의 시험을 쳐야 한다. 따라서 관련 전공자는 법학, 회계학, 행정학, 무역학 등의 전공자가 다소 유리할 수 있다. 기타 관세행정 사무원의 구체적 업무나 채용 관련 지원 자격이나 시험일정, 채용규모 등에 대해서 궁금한 사항이 있으면 관세청 홈페이지http://www.customs.go.kr를 방문한다.","조사년도:2023년, 임금 하위(25%) 3400만원, 평균(50%) 4000만원, 상위(25%) 4800만원",73.7,증가(26%) 현상유지(22%) 감소(52%),관세행정사무원,전산(89)/수리력(80)/읽고 이해하기(79)/글쓰기(73)/추리력(70),법(84)/사무(83)/경제와 회계(79)/경영 및 행정(64)/영어(54),"자동화 정도(100)/공문, 문서 주고받기(97)/연설, 발표, 회의하기(93)/치열한 경쟁(91)/반복적인 신체행동, 정신적 활동(90)",정직성(74)/꼼꼼함(63)/신뢰성(58)/자기통제(52)/책임과 진취성(50),관습형(Conventional)(99)/진취형(Enterprising)(5),애국(88)/고용안정(86)/이타(74)/지적 추구(66)/경제적 보상(47),"행정, 관리 업무(95)/기준에 따른 정보 평가(94)/정보 작성, 기록(89)/정보 처리(84)/정보의 의미 해석(82)","행정, 관리 업무(95)/기준에 따른 정보 평가(91)/정보 작성, 기록(86)/정보 처리(83)/정보의 의미 해석(82)"
K000001201,경영·사무·금융·보험직,정부·공공 행정 사무원,법원공무원,"법원, 검찰, 특허청 등 법률과 관련된 사법 및 정부(공공) 기관 등에 소속되어 공무와 법률 사무를 집행한다.","법원일반공무원은 사법행정, 기술심리, 기술, 관리운영 직군으로 분류되고, 사법행정직군은 다시 법원사무, 등기사무, 조사사무, 전산, 통계, 법원경위, 사서, 통역, 행정사무, 속기, 보안관리, 병기, 비상대비 직렬로 세분된다. 그중 법원사무직렬계급은 1급부터 9급까지로 나뉘어 있다. 법원공무원은 대법원장이 임명하는데 임용권의 일부가 소속기관의 장에게 위임되어 있다. 채용은 공개경쟁채용시험으로 이뤄진다.","조사년도:2023년, 임금 하위(25%) 3075만원, 평균(50%) 4350만원, 상위(25%) 5225만원",73.3,증가(0%) 현상유지(63%) 감소(37%),법원공무원,전산(95)/듣고 이해하기(95)/읽고 이해하기(94)/범주화(93)/글쓰기(92),법(93)/사무(89)/경영 및 행정(86)/경제와 회계(69)/상담(66),"공문, 문서 주고받기(87)/앉아서 근무(83)/전화 대화하기(78)/실내 근무(70)/이메일 이용하기(60)",정직성(70)/꼼꼼함(60)/스트레스 감내성(50)/신뢰성(48)/협조(46),사회형(Social)(55)/현실형(Realistic)(9),고용안정(96)/애국(90)/이타(77)/신체활동(76)/경제적 보상(70),"행정, 관리 업무(99)/업무 계획, 우선순위 결정(99)/기준에 따른 정보 평가(97)/정보 처리(95)/팀 구성, 협업 촉진(95)","행정, 관리 업무(98)/업무 계획, 우선순위 결정(95)/절차, 자료, 주변환경 관찰(93)/정보 수집(92)/기준에 따른 정보 평가(91)"
K000007456,경영·사무·금융·보험직,정부·공공 행정 사무원,병무행정사무원,"병역자원 관리, 의무자 징집 및 소집 등 병무행정 업무를 계획하고 시행하는 등 법령과 업무처리 규정에 따라 병무 행정업무를 수행한다.","병무행정은 군에서 필요로 하는 인력을 충원하기 위하여 법률이 정하는 바에 따라 국민에게 병역의무를 부과하는 일로 형평성과 공정성이 엄정하게 요구된다. 병무행정을 관할하는 국방기구는 병무청인데, 병무청은 국방부 산하의 행정기관으로 병역의무자에 대한 징집·소집 및 전시병력 동원 등 의무부과와 향토예비군의 편성·관리, 산업기능인력의 지원, 병역의무자 국외여행허가 등을 주요 임무로 하고 있다. 국가공무원을 선발할 때 지원 후 합격해서 병무청에 배치되어야 병무행정사무원이 될 수 있다. 또한 병무청에서 공채를 하거나 특별채용을 할 경우에도 지원할 수 있다.","조사년도:2023년, 임금 하위(25%) 3200만원, 평균(50%) 3700만원, 상위(25%) 4250만원",70.8,증가(0%) 현상유지(30%) 감소(70%),병무행정사무원,전산(89)/글쓰기(80)/범주화(77)/읽고 이해하기(69)/듣고 이해하기(64),사무(89)/경영 및 행정(87)/통신(62)/법(62)/컴퓨터와 전자공학(60),"자동화 정도(99)/반복적인 신체행동, 정신적 활동(93)/정확성, 정밀성 유지(90)/앉아서 근무(89)/공문, 문서 주고받기(89)",정직성(66)/신뢰성(51)/책임과 진취성(50)/스트레스 감내성(49)/독립성(47),사회형(Social)(81)/관습형(Conventional)(33),고용안정(95)/애국(93)/신체활동(90)/심신의 안녕(84)/타인에 대한 영향(62),"행정, 관리 업무(97)/기준에 따른 정보 평가(84)/상사, 동료, 부하직원과 소통(79)/정보 작성, 기록(70)/정보 처리(70)","행정, 관리 업무(92)/기준에 따른 정보 평가(83)/상사, 동료, 부하직원과 소통(79)/정보 처리(75)/정보 작성, 기록(68)"
K000007516,경영·사무·금융·보험직,정부·공공 행정 사무원,조세행정사무원,"개인 또는 사업체가 납부하는 세금, 부담금 및 기타 형태의 과징금 등의 금액을 결정하기 위하여 세금신고서, 판매영수증 및 기타 서류를 검사한다.","각종 세법에 따라 개인 또는 사업체가 납부하는 각종 세금의 금액을 결정하기 위하여 신고서, 판매영수증, 세금계산서 및 기타 관련 서류를 검토하고, 과세자료를 추적ㆍ조사하고, 세금을 부과, 승인 결정하는데 관련된 업무를 수행하는 조세행정 사무원이 되려면 국세청에 입사해야 한다. 시험에 합격하면 국세청 본부나 지방의 세무서 등에 근무한다. 응시자격을 보면 국가직 공무원은 만 18세이상 ∼ 만 28세 이하이어야 하며 지방직 공무원은 만 18세이상 ∼ 만 32세 이하 (서울은 만 30세 이하) 이어야 한다. 학력·경력·성별 등에 제한은 없으나 국어, 한국사, 영어, 세법개론, 회계학(회계원리, 원가회계) 등의 필기시험에 합격하고 면접을 거쳐야 한다. 각 년마다 채용 예정된 인원을 목표로 고득점자 순으로 결정한다.","조사년도:2023년, 임금 하위(25%) 2950만원, 평균(50%) 3400만원, 상위(25%) 5000만원",71.1,증가(7%) 현상유지(50%) 감소(43%),조세행정사무원,수리력(96)/전산(91)/논리적 분석(84)/읽고 이해하기(82)/듣고 이해하기(81),경제와 회계(92)/법(89)/경영 및 행정(80)/사무(80)/산수와 수학(74),앉아서 근무(90)/외부 고객 대하기(80)/전화 대화하기(78)/다른 사람과의 접촉(78)/다른 사람과 신체적 접촉(77),정직성(74)/꼼꼼함(70)/분석적 사고(60)/스트레스 감내성(58)/신뢰성(55),관습형(Conventional)(55)/현실형(Realistic)(46),고용안정(98)/애국(94)/신체활동(88)/인정(80)/심신의 안녕(77),"행정, 관리 업무(97)/정보 작성, 기록(84)/컴퓨터 업무(83)/기준에 따른 정보 평가(81)/정보 처리(77)","행정, 관리 업무(96)/기준에 따른 정보 평가(90)/컴퓨터 업무(87)/정보 작성, 기록(85)/정보 처리(85)"
K000001069,경영·사무·금융·보험직,경영지원 사무원,광고·홍보·마케팅사무원,"기업 또는 단체의 제품이나 성과 등을 홍보하기 위해 각종 언론매체, 인쇄물, 영상물, 정보제공, 행사개최·참여 등의 홍보 관련 사업을 기획하고 집행한다.","마케팅·광고·홍보사무원에게 요구되는 학력은 근무하는 곳에 따라 다르다. 소규모 업체나 중소기업은 고등학교 졸업 이상의 학력을 요구하며 대기업의 경우 법학, 경제학, 경영학, 무역학, 회계학 등 관련 분야 대졸 이상의 학력을 요구하는 편이다. 광고 및 홍보사무원이 되는 데 특별한 자격증이 필요하진 않지만 인터넷 활용능력과 컴퓨터를 활용한 문서작성능력은 기본으로 갖추어야 한다. 또한, 취업을 하면 일정기간의 교육훈련과 현장견습이 필요하다.","조사년도:2023년, 임금 하위(25%) 4200만원, 평균(50%) 6350만원, 상위(25%) 7725만원",66.7,증가(15%) 현상유지(29%) 감소(56%),광고·홍보·마케팅사무원,창의력(95)/협상(91)/전산(90)/모니터링(Monitoring)(88)/사람 파악(88),영업과 마케팅(87)/의사소통과 미디어(84)/국어(83)/심리(81)/고객서비스(81),이메일 이용하기(91)/재택근무(89)/갈등 상황(88)/앉아서 근무(88)/불쾌하거나 무례한 사람 상대(88),적응성/융통성(74)/스트레스 감내성(74)/사회성(73)/협조(71)/분석적 사고(70),진취형(Enterprising)(82)/탐구형(Investigative)(71),다양성(94)/신체활동(76)/지적 추구(75)/심신의 안녕(71)/타인에 대한 영향(69),"업무, 활동에 대한 일정관리(90)/목표, 전략 수립(85)/창조적 생각(81)/조직 외부인과 소통(81)/사람들에게 영향력 행사(81)","사람들에게 영향력 행사(85)/목표, 전략 수립(85)/업무, 활동에 대한 일정관리(81)/상사, 동료, 부하직원과 소통(81)/창조적 생각(81)"
K000001079,경영·사무·금융·보험직,경영지원 사무원,경영기획사무원,"경영비전 및 방침을 수립하고 장·단기 경영계획과 전략을 수립하며 연도별 경영분석을 실시하며, 효율적인 경영이 이루어지도록 관리자를 지원하기 위하여 소관 업무를 기획·입안한다.","경영기획사무원에게 요구되는 학력은 근무하는 사업체와 부서에 따라 차이가 있다. 소규모 업체나 중소기업체는 고등학교 졸업 이상의 학력을 요구하며, 대기업은 관련 분야 대졸 이상의 학력을 요구하는 편이다. 담당하는 업무에 따라 교육 수준과 필요한 지식이 다르지만, 경영, 경제, 법, 회계, 행정, 광고, 홍보, 무역 관련 학과를 전공하면 취업에 유리하다. 또한, 특별히 요구되는 자격증은 없으나 인터넷 활용능력과 컴퓨터를 활용한 문서작성능력이 필수적이며, 취업 후에 일정기간의 교육훈련과 현장견습이 필요하다. 대개 각 기관이나 기업체에서 신규사원이나 경력사원을 공개 채용하고 있지만, 결원이 생기면 수시채용을 하기도 한다. 일부 대기업에서는 인턴사원으로 채용하여 일정 기간이 지나면 평가를 거쳐 정규직원으로 전환하기도 한다.","조사년도:2023년, 임금 하위(25%) 4500만원, 평균(50%) 5550만원, 상위(25%) 8000만원",69.6,증가(12%) 현상유지(36%) 감소(52%),경영기획사무원,판단과 의사결정(97)/조직체계의 분석 및 평가(97)/읽고 이해하기(89)/듣고 이해하기(89)/범주화(89),경제와 회계(92)/경영 및 행정(91)/사무(89)/국어(86)/법(84),재택근무(93)/앉아서 근무(90)/이메일 이용하기(90)/전화 대화하기(84)/다른 사람들을 조율하거나 이끌기(81),분석적 사고(77)/협조(74)/리더십(70)/혁신(66)/사회성(66),진취형(Enterprising)(87)/사회형(Social)(33),신체활동(89)/타인에 대한 영향(81)/지적 추구(75)/인정(75)/성취(60),"인사 업무(98)/행정, 관리 업무(97)/목표, 전략 수립(96)/사람들의 업무와 활동을 조직, 편성(93)/사람들에게 조언, 상담(93)","행정, 관리 업무(99)/인사 업무(99)/사람들의 업무와 활동을 조직, 편성(97)/목표, 전략 수립(97)/사람들의 능력 개발, 지도(95)"
K000001196,경영·사무·금융·보험직,경영지원 사무원,인사·교육·훈련사무원,사원의 채용·배치·전환·퇴직·급여·인사고과·담당섭외 업무를 기획·건의·집행하는 인사노무 사무를 수행한다.,"인사 및 노무사무원으로 일하는 데 필요한 학력은 근무하는 곳에 따라 차이가 있다. 일반적으로 소규모 업체나 중소기업은 고등학교 졸업 이상의 학력을 요구하며 대기업의 경우 법학, 경제학, 경영학, 무역학, 회계학 등 관련 분야 대졸 이상의 학력을 요구한다. 인사 및 노무사무원이 갖춰야 할 특별한 자격증은 없으나 인터넷 활용능력과 컴퓨터를 활용한 문서작성 능력은 필수로 갖추어야 한다. 또한, 취업한 뒤 일정 기간의 교육훈련과 현장견습이 필요하다.","조사년도:2023년, 임금 하위(25%) 4200만원, 평균(50%) 5100만원, 상위(25%) 6600만원",71.4,증가(8%) 현상유지(43%) 감소(49%),인사·교육·훈련사무원,인적자원 관리(99)/사람 파악(92)/설득(89)/전산(84)/말하기(83),인사(97)/사무(84)/교육 및 훈련(84)/경영 및 행정(83)/법(83),다른 사람과의 접촉(90)/앉아서 근무(89)/전화 대화하기(89)/이메일 이용하기(88)/재택근무(88),타인에 대한 배려(81)/사회성(79)/협조(75)/자기통제(74)/신뢰성(73),사회형(Social)(91)/관습형(Conventional)(86),심신의 안녕(91)/신체활동(89)/경제적 보상(83)/타인에 대한 영향(81)/고용안정(77),"인사 업무(100)/사람들을 훈련, 교육(96)/부하 직원들에게 업무 안내, 지시, 동기부여(91)/사물, 서비스, 사람의 질 판단(90)/협상, 갈등 해결(89)","인사 업무(100)/사람들을 훈련, 교육(96)/부하 직원들에게 업무 안내, 지시, 동기부여(94)/협상, 갈등 해결(90)/사람들의 업무와 활동을 조직, 편성(89)"
K000001200,경영·사무·금융·보험직,경영지원 사무원,영업기획·관리·지원사무원,"기업의 영업생산성을 증대할 목적으로 현장 영업원의 영업활동에 관련된 제반 관리업무(유통, 실적, 전산, 서류, 통계, 결산 등)를 수행한다.","영업관리사무원에게 요구되는 학력은 근무하는 사업체와 부서에 따라 차이가 있다, 소규모 업체나 중소기업체에서는 고등학교 졸업 이상, 대기업은 관련 분야 대졸 이상의 학력을 요구하는 편이다. 담당하는 업무에 따라 교육 수준과 필요한 지식이 다르지만 경영, 경제, 법, 회계, 행정, 광고, 홍보, 무역 관련 학과를 전공하면 취업에 유리하다. 특별히 요구되는 자격증은 없으나 인터넷 활용능력과 컴퓨터를 활용한 문서작성 능력이 필수적이다. 각 기관이나 기업체에서 신규사원이나 경력사원을 공개 채용하는 편이며, 결원이 생기면 수시 채용을 통해 입사하기도 한다. 일부 대기업에서는 인턴사원으로 채용하여 일정기간이 지나면 평가를 거쳐 정규직원으로 전환하기도 한다.","조사년도:2023년, 임금 하위(25%) 4125만원, 평균(50%) 5400만원, 상위(25%) 7750만원",62.4,증가(5%) 현상유지(24%) 감소(69%),영업기획·관리·지원사무원,전산(84)/협상(77)/서비스 지향(75)/설득(70)/재정 관리(69),사무(89)/영업과 마케팅(87)/경영 및 행정(79)/의사소통과 미디어(75)/국어(75),"재택근무(95)/이메일 이용하기(89)/앉아서 근무(87)/전화 대화하기(86)/연설, 발표, 회의하기(78)",사회성(73)/협조(72)/분석적 사고(70)/적응성/융통성(67)/책임과 진취성(66),진취형(Enterprising)(70)/사회형(Social)(54),신체활동(86)/심신의 안녕(79)/지적 추구(60)/타인에 대한 영향(59)/경제적 보상(53),"대인관계 유지(91)/사람들에게 영향력 행사(90)/상사, 동료, 부하직원과 소통(84)/협상, 갈등 해결(84)/행정, 관리 업무(84)","사람들에게 영향력 행사(87)/사람들을 훈련, 교육(86)/대인관계 유지(86)/행정, 관리 업무(83)/부하 직원들에게 업무 안내, 지시, 동기부여(83)"
K000007517,경영·사무·금융·보험직,경영지원 사무원,총무사무원,사업체의 운영에 필요한 각종 행정업무를 총괄하는 업무를 수행한다.,"총무사무원에게 요구되는 학력은 근무하는 사업체와 부서에 따라 차이가 있다. 보통 소규모업체나 중소기업체에서는 고등학교 졸업 이상의 학력을 요구하며, 대기업은 관련 분야 대졸 이상의 학력을 요구하는 편이다. 담당하는 업무에 따라 교육수준과 필요한 지식이 다르지만, 경영, 경제, 법, 회계, 행정, 교육, 광고, 홍보, 무역 관련 학과를 전공하면 취업에 유리하다.  인터넷 활용능력과 컴퓨터를 활용한 문서작성능력이 필수적이다. 또한, 취업을 하면 일정 기간의 교육훈련과 현장실습이 필요하다. 총무사무원은 거의 모든 산업영역에 걸쳐 종사하고 있다. 채용방법은 각 기관이나 기업체에서 신규사원이나 경력사원을 공개 채용하는 편이며, 결원이 생기면 수시 채용을 통해 입사하기도 한다. 일부 대기업에서는 인턴사원을 채용하여 일정 기간이 지나면 평가를 거쳐 정규직원으로 전환하기도 한다.","조사년도:2023년, 임금 하위(25%) 3460만원, 평균(50%) 4750만원, 상위(25%) 6475만원",62.6,증가(4%) 현상유지(31%) 감소(63%),총무사무원,재정 관리(99)/물적자원 관리(99)/전산(93)/수리력(87)/글쓰기(64),인사(83)/경제와 회계(81)/사무(81)/경영 및 행정(81)/법(78),"불쾌하거나 무례한 사람 상대(91)/이메일 이용하기(88)/전화 대화하기(86)/공문, 문서 주고받기(85)/다른 사람과의 접촉(85)",정직성(76)/신뢰성(65)/꼼꼼함(63)/사회성(63)/자기통제(62),사회형(Social)(81)/관습형(Conventional)(78),신체활동(67)/이타(65)/고용안정(61)/경제적 보상(50)/지적 추구(49),"자원 관리(93)/행정, 관리 업무(83)/컴퓨터 업무(70)/정보 작성, 기록(63)/상사, 동료, 부하직원과 소통(62)","행정, 관리 업무(89)/자원 관리(81)/컴퓨터 업무(76)/업무 계획, 우선순위 결정(66)/정보 작성, 기록(59)"
K000007553,경영·사무·금융·보험직,경영지원 사무원,감사사무원,관공서 또는 기업체에서 효율적인 감사업무를 수행하기 위하여 감사기획 및 지침수립 등 감사 실시에 따른 제반업무를 수행한다.,"감사사무원이 되기 위해서는 내부 및 대외규정, 관련 법규 등을 모니터링하고 교육, 자문을 하기 위한 법, 행정, 회계 관련 전공을 공부하는 것이 도움이 된다. 특별한 자격증은 없지만, 인터넷 활용능력과 컴퓨터를 활용한 문서작성능력이 필수적이며, 사내에서 일정기간의 교육훈련과 현장견습을 받아야 한다. 채용은 다른 사무원과 유사하게 신입사원이나 경력사원을 공개채용하는 편이지만, 업무의 특성상 관련 업무를 수행해 본 경험이 있는 경력자를 선호한다.","조사년도:2023년, 임금 하위(25%) 6725만원, 평균(50%) 8000만원, 상위(25%) 9052만원",71.5,증가(26%) 현상유지(37%) 감소(37%),감사사무원,판단과 의사결정(98)/모니터링(Monitoring)(97)/범주화(93)/논리적 분석(92)/전산(88),법(94)/경제와 회계(89)/국어(86)/인사(85)/경영 및 행정(84),"이미지/평판/재정에 미치는 강도(91)/앉아서 근무(89)/갈등 상황(89)/정확성, 정밀성 유지(89)/불쾌하거나 무례한 사람 상대(86)",정직성(83)/분석적 사고(76)/신뢰성(76)/자기통제(74)/스트레스 감내성(71),관습형(Conventional)(95)/진취형(Enterprising)(87),신체활동(93)/심신의 안녕(86)/고용안정(85)/경제적 보상(84)/타인에 대한 영향(84),"기준에 따른 정보 평가(92)/행정, 관리 업무(77)/정보 처리(74)/정보, 자료 분석(68)/정보 작성, 기록(67)","기준에 따른 정보 평가(83)/행정, 관리 업무(78)/정보 처리(76)/정보, 자료 분석(70)/정보의 의미 해석(69)"
K000007466,경영·사무·금융·보험직,회계·경리 사무원,경리사무원,"회사 경영에 필요한 재무정보를 제공하기 위하여 현금, 채권, 채무 등의 증감을 기록, 계산, 정리하는 업무를 수행한다.","경리사무원이 되기 위해서는 고졸 이상의 학력을 요구한다. 경리사무원은 회계사무원과 유사한 업무를 수행하지만 수행하는 업무가 정해진 절차에 따라 매뉴얼이나 전산시스템을 사용하여 청구서, 계산서의 작성, 재무기록의 시스템 입력, 직원의 임금 지급과 경비 증빙서류 정리 등의 업무를 수행하기 때문에 회계사무원보다 요구하는 학력이나 요구하는 전문지식에 차이가 있을 수 있다. 일반적으로 고등학교 상업계열을 졸업하거나 세무회계관련 전산프로그램의 활용능력을 갖추면 취업에 유리하다","조사년도:2023년, 임금 하위(25%) 3000만원, 평균(50%) 3600만원, 상위(25%) 5300만원",64,증가(5%) 현상유지(25%) 감소(68%),경리사무원,전산(94)/재정 관리(92)/수리력(88)/글쓰기(61)/읽고 이해하기(56),경제와 회계(87)/사무(82)/경영 및 행정(76)/산수와 수학(67)/인사(67),"정확성, 정밀성 유지(88)/앉아서 근무(84)/마감시간(81)/이메일 이용하기(80)/전화 대화하기(79)",정직성(78)/꼼꼼함(66)/신뢰성(62)/자기통제(49)/인내(46),관습형(Conventional)(92)/진취형(Enterprising)(31),신체활동(84)/심신의 안녕(70)/개인지향(55)/지적 추구(51)/자율(49),"행정, 관리 업무(99)/자원 관리(99)/컴퓨터 업무(93)/정보 처리(87)/상사, 동료, 부하직원과 소통(84)","자원 관리(99)/행정, 관리 업무(97)/상사, 동료, 부하직원과 소통(94)/컴퓨터 업무(93)/정보 작성, 기록(92)"
K000007487,경영·사무·금융·보험직,회계·경리 사무원,회계사무원,"회계사의 지휘 하에 사업체의 재무 거래에 대해서 분기, 전기, 결산 등의 업무를 수행하여 회계사의 업무를 지원한다.","회계사무원이 되기 위해서는 일반적으로 전문대졸 이상의 회계관련 학과를 졸업하는 것이 필요하다. 기업의 거래사항의 기록과 정리, 제조원가 산출, 대차대조표, 손익계산서 등의 재무제표를 작성하고 회계 관련 통계, 재무 및 결산보고서를 작성하기 위하여 회계관련학과를 졸업하는 것이 유리하다. 회계업무의 일부가 전산화되어 있어 전산프로그램의 활용능력이 있으면 취업을 할 때 도움이 될 수 있다. ","조사년도:2023년, 임금 하위(25%) 4300만원, 평균(50%) 6000만원, 상위(25%) 7500만원",69.7,증가(4%) 현상유지(26%) 감소(70%),회계사무원,재정 관리(100)/수리력(100)/전산(99)/판단과 의사결정(89)/기억력(80),경제와 회계(97)/경영 및 행정(90)/법(84)/사무(81)/산수와 수학(79),"반복적인 신체행동, 정신적 활동(93)/앉아서 근무(90)/재택근무(90)/이메일 이용하기(90)/정확성, 정밀성 유지(87)",정직성(79)/꼼꼼함(77)/신뢰성(75)/자기통제(68)/분석적 사고(63),관습형(Conventional)(89)/현실형(Realistic)(62),신체활동(90)/고용안정(77)/이타(74)/성취(67)/애국(64),"행정, 관리 업무(99)/정보 작성, 기록(98)/자원 관리(97)/컴퓨터 업무(97)/정보 처리(95)","정보 작성, 기록(97)/행정, 관리 업무(97)/컴퓨터 업무(96)/자원 관리(96)/정보 처리(93)"
K000000843,경영·사무·금융·보험직,무역·운송·생산·품질 사무원,자재·구매사무원,제품생산에 필요한 각종 자재를 생산부서에 효율적으로 지원·공급하기 위하여 소요계획을 수립하고 적정 재고량을 유지·관리한다.,"자재·구매사무원으로 일하는 데 필요한 학력은 근무하는 곳에 따라 차이가 있다. 일반적으로 소규모 업체나 중소기업은 고등학교 졸업 이상의 학력을 요구하며 대기업의 경우 법학, 경제학, 경영학, 무역학, 회계학 등 관련 분야 대졸 이상의 학력을 요구한다. 자재관리사무원이 갖춰야 할 특별한 자격증은 없으나 인터넷 활용능력과 컴퓨터를 활용한 문서작성 능력은 필수로 갖추어야 한다. 또한, 취업한 뒤 일정 기간의 교육훈련과 현장견습이 필요하다.","조사년도:2023년, 임금 하위(25%) 5250만원, 평균(50%) 6000만원, 상위(25%) 7600만원",68.6,증가(3%) 현상유지(25%) 감소(72%),자재·구매사무원,물적자원 관리(100)/재정 관리(99)/전산(94)/품질관리분석(91)/수리력(82),운송(86)/상품 제조 및 공정(86)/경제와 회계(85)/사무(81)/영어(80),이메일 이용하기(91)/갈등 상황(90)/전화 대화하기(90)/재택근무(90)/불쾌하거나 무례한 사람 상대(89),정직성(72)/꼼꼼함(69)/협조(68)/적응성/융통성(66)/신뢰성(65),진취형(Enterprising)(78)/관습형(Conventional)(61),심신의 안녕(80)/신체활동(64)/인정(60)/타인에 대한 영향(52)/성취(50),"협상, 갈등 해결(94)/행정, 관리 업무(92)/업무, 활동에 대한 일정관리(91)/상사, 동료, 부하직원과 소통(91)/장비, 건축물, 자재 검사(90)","협상, 갈등 해결(88)/정보, 자료 분석(87)/정보 수집(86)/행정, 관리 업무(86)/장비, 건축물, 자재 검사(84)"
